품목명,단위,단가
청양고추,박스,80000
청양고추,키로,8000
꽈리고추,박스,35000
꽈리고추,키로,8800
홍고추,박스,90000
홍고추,키로,9000
청피망,박스,70000
청피망,키로,7000
홍피망,박스,150000
홍피망,키로,15000
홍파,박스,50000
홍파,키로,10000
홍파,개,2100
노파,박스,50000
노파,키로,10000
노파,개,2100
부추,단,10000
부추소,단,5000
알타리,단,4500
얼갈이,단,4500
청오이,박스,57000
청오이,키로,5700
청오이,개,1200
백오이,박스,45000
백오이,키로,4500
백오이,개,900
단호박,박스,16000
단호박,개,1500
