품목명,단위,단가
청양고추,박스,70000
꽈리고추,박스,80000
홍고추,박스,100000
청피망,박스,65000
홍피망,박스,150000
홍파,박스,45000
노파,박스,55000
부추,박스,9000
부추소,박스,4500
알타리,박스,4000
얼갈이,박스,3000
청양고추,키로,7000
꽈리고추,키로,4000
홍고추,키로,10000
청피망,키로,6500
홍피망,키로,15000
홍파,키로,4500
노파,키로,4500
홍파,개,2000
노파,개,2000
